"states","indicators","Unit","Date","Value"
"Kogi","FRUITS (N)","","2006",4569
"Kogi","VEGETABLE (N)","","2006",30534
"Kogi","Fish fresh","","2006",3280
"Kogi","Fish frozen","","2006",2420
"Kogi","Dried fish","","2006",13839
"Kogi","fried fish","","2006",1100
"Kogi","Smoked fish","","2006",4768
"Kogi","Bush meat","","2006",2742
"Kogi","Other Meat","","2006",4200
"Kogi","OTHER ROOT/TUBER","","2006",7276
"Kwara","MAIZE (WHITE)","","2006",480
"Kwara","MAIZE (YELLOW)","","2006",6926
"Kwara","RICE (LOCAL)","","2006",1088
"Kwara","RICE (AGRIC)","","2006",4295
"Kwara","RICE (IMPORTED)","","2006",3920
"Kwara","MAIZE FLOUR","","2006",1185
"Kwara","CASSAVA FLOUR","","2006",15072
"Kwara","CASSAVA","","2006",990
"Kwara","FRUITS (N)","","2006",9810
"Kwara","VEGETABLE (N)","","2006",41639
"Kwara","Fish fresh","","2006",3974
"Kwara","Fish frozen","","2006",4155
"Kwara","Dried fish","","2006",5765
"Kwara","fried fish","","2006",120
"Kwara","Smoked fish","","2006",450
"Kwara","Bush meat","","2006",250
"Kwara","Other Meat","","2006",780
"Kwara","OTHER ROOT/TUBER","","2006",159156
"Lagos","MAIZE (WHITE)","","2006",100
"Lagos","MAIZE (YELLOW)","","2006",1930
"Lagos","RICE (LOCAL)","","2006",1260
"Lagos","RICE (AGRIC)","","2006",1120
"Lagos","RICE (IMPORTED)","","2006",21260
"Lagos","MAIZE FLOUR","","2006",13213
"Lagos","CASSAVA FLOUR","","2006",2520
"Lagos","CASSAVA","","2006",130
"Lagos","Cassava (Akpu)","","2006",410
"Lagos","FRUITS (N)","","2006",19021
"Lagos","VEGETABLE (N)","","2006",81714
"Lagos","Fish fresh","","2006",14392
"Lagos","Fish frozen","","2006",38404
"Lagos","Dried fish","","2006",11728
"Lagos","fried fish","","2006",1900
"Lagos","Smoked fish","","2006",3084
"Lagos","Bush meat","","2006",2830
"Lagos","Other Meat","","2006",8446
"Lagos","OTHER ROOT/TUBER","","2006",11890
"Nassarawa","MAIZE (WHITE)","","2006",246078
"Nassarawa","MAIZE (YELLOW)","","2006",9297
"Nassarawa","RICE (LOCAL)","","2006",280905
"Nassarawa","RICE (AGRIC)","","2006",32480
